Strain,Type,Effects
Highwayman,hybrid,"Focused,Happy,Relaxed,Sleepy,Euphoric"
Himalayan-Blackberry,indica,"Sleepy,Relaxed,Euphoric,Happy,Uplifted"
Himalayan-Gold,hybrid,"Happy,Euphoric,Creative,Aroused,Sleepy"
Hindu-Kush,indica,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
Hindu-Skunk,indica,"Relaxed,Euphoric,Happy,Aroused,Uplifted"
Hippie-Chicken,sativa,"Euphoric,Happy,Uplifted,Relaxed,Talkative"
Hippie-Crippler,hybrid,"Happy,Uplifted,Relaxed,Euphoric,Energetic"
Hoarfrost,hybrid,"Creative,Euphoric,Focused,Happy,Hungry"
Hobbit,hybrid,"Tingly,Uplifted,Happy,Focused,Hungry"
Hogs-Breath,indica,"Relaxed,Happy,Sleepy,Hungry,Tingly"
Hollands-Hope,indica,"Relaxed,Euphoric,Happy,Sleepy,Uplifted"
Hollywood-Og,hybrid,"Relaxed,Happy,Hungry,Tingly,Uplifted"
Holy-Ghost,hybrid,"Relaxed,Euphoric,Hungry,Giggly,Happy"
Holy-Grail-Kush,hybrid,"Relaxed,Happy,Uplifted,Euphoric,Creative"
Honduras,sativa,None
Honey-Bananas,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Creative"
Honey-Boo-Boo,indica,"Euphoric,Happy,Aroused,Creative,Giggly"
Honey-Rock,hybrid,"Hungry,Relaxed,Tingly,Sleepy,Euphoric"
Hong-Kong,hybrid,"Hungry,Relaxed,Happy,Uplifted,Energetic"
Hoodwreck,sativa,"Euphoric,Happy,Creative,Energetic,Focused"
Huckleberry,hybrid,"Happy,Relaxed,Talkative,Uplifted,Euphoric"
Huckleberry-Hound,hybrid,"Creative,Euphoric,Happy,Relaxed"
Hulkamania,indica,"Aroused,Tingly,Uplifted,Euphoric,Happy"
Humboldt,hybrid,"Relaxed,Sleepy,Euphoric,Happy,Uplifted"
Humboldt-Dream,indica,"Relaxed,Creative,Euphoric,Uplifted,Happy"
Humboldt-Headband,indica,"Euphoric,Sleepy,Happy,Relaxed,Focused"
Hurkle,hybrid,"Relaxed,Happy,Hungry,Focused,Sleepy"
Hurricane,sativa,"Uplifted,Relaxed,Energetic,Happy,Focused"
Hustler-Kush,hybrid,"Happy,Energetic,Euphoric,Uplifted,Talkative"
I-95,hybrid,"Creative,Energetic,Euphoric,Focused,Happy"
Iced-Grapefruit,hybrid,"Happy,Euphoric,Relaxed,Focused,Creative"
Ifc-Og,indica,None
Ig-Kush,hybrid,"Sleepy,Happy,Relaxed,Tingly,Hungry"
Ice,hybrid,"Euphoric,Uplifted,Relaxed,Happy,Tingly"
Ice-Cream,hybrid,"Happy,Relaxed,Uplifted,Focused,Euphoric"
Ice-Princess,hybrid,"Happy,Relaxed,Sleepy,Uplifted,Euphoric"
Ice-Queen,hybrid,"Euphoric,Relaxed,Happy,Creative,Talkative"
Ice-Wreck,hybrid,"Relaxed,Euphoric,Creative,Uplifted,Tingly"
Iced-Widow,indica,"Relaxed,Happy,Euphoric,Uplifted,Giggly"
Ill-Og,indica,"Euphoric,Giggly,Happy,Relaxed,Uplifted"
Illuminati-Og,indica,"Relaxed,Sleepy,Focused,Talkative,Euphoric"
In-The-Pines,sativa,"Happy,Uplifted,Focused,Relaxed,Euphoric"
Incredible-Bulk,indica,"Relaxed,Happy,Hungry,Sleepy,Euphoric"
Incredible-Hulk,sativa,"Happy,Euphoric,Focused,Relaxed,Uplifted"
Industrial-Plant,hybrid,"Energetic,Uplifted,Euphoric,Happy,Relaxed"
Ingrid,indica,"Relaxed,Euphoric,Creative,Sleepy,Happy"
Intergalactic,hybrid,"Creative,Giggly,Happy,Relaxed"
Irene-Kush,hybrid,"Relaxed,Happy,Creative,Euphoric,Focused"
Irish-Cream,indica,"Uplifted,Euphoric,Relaxed,Sleepy,Giggly"
Iron-Triangle,hybrid,"Happy,Giggly,Tingly,Uplifted,Focused"
Island-Haze,sativa,"Creative,Uplifted,Relaxed,Sleepy,Talkative"
Island-Maui-Haze,sativa,"Euphoric,Tingly,Creative,Happy,Relaxed"
Island-Sweet-Skunk,sativa,"Happy,Relaxed,Uplifted,Energetic,Focused"
Js-Famous-Kush,hybrid,"Focused,Hungry,Relaxed"
J-27,sativa,"Euphoric,Energetic,Focused,Uplifted,Creative"
J1,hybrid,"Euphoric,Happy,Creative,Uplifted,Energetic"
Jt15,indica,"Relaxed,Sleepy,Happy,Hungry,Uplifted"
Jack-47,hybrid,"Happy,Euphoric,Relaxed,Giggly,Energetic"
Jack-Burton,indica,"Aroused,Sleepy,Uplifted,Creative,Euphoric"
Jack-Diesel,sativa,"Euphoric,Happy,Energetic,Giggly,Creative"
Jack-Flash,hybrid,"Uplifted,Euphoric,Happy,Relaxed,Energetic"
Jack-Frost,hybrid,"Happy,Euphoric,Relaxed,Energetic,Uplifted"
Jack-Haze,hybrid,"Happy,Energetic,Euphoric,Uplifted,Giggly"
Jack-Herer,sativa,"Happy,Uplifted,Energetic,Focused,Euphoric"
Jack-Kush,hybrid,"Happy,Energetic,Giggly,Euphoric,Relaxed"
Jack-Skellington,sativa,"Euphoric,Relaxed,Happy,Creative,Focused"
Jack-Smack,sativa,"Focused,Happy,Creative,Aroused,Energetic"
Jack-Widow,hybrid,"Happy,Uplifted,Euphoric,Creative,Hungry"
Jack-Wreck,sativa,"Energetic,Happy,Uplifted,Euphoric,Creative"
Jack-The-Ripper,sativa,"Happy,Energetic,Uplifted,Euphoric,Creative"
Jacks-Cleaner,sativa,"Happy,Focused,Energetic,Euphoric,Uplifted"
Jacks-Dream,hybrid,"Uplifted,Creative,Energetic,Focused,Happy"
Jackalope,sativa,"Happy,Relaxed,Aroused,Sleepy,Talkative"
Jacked-Up,hybrid,"Energetic,Uplifted,Hungry,Aroused,Creative"
Jacky-Girl,hybrid,"Aroused,Creative,Energetic,Euphoric,Focused"
Jacky-White,sativa,"Focused,Energetic,Creative,Happy,Euphoric"
Jah-Kush,hybrid,"Happy,Euphoric,Aroused,Giggly,Uplifted"
Jahwaiian,sativa,"Aroused,Creative,Energetic,Euphoric,Happy"
Jamaican,sativa,"Uplifted,Happy,Creative,Energetic,Talkative"
Jamaican-Dream,sativa,"Happy,Euphoric,Uplifted,Relaxed,Energetic"
Jamaican-Lion,sativa,"Uplifted,Relaxed,Happy,Energetic,Talkative"
Jamaican-Pearl,sativa,"Euphoric,Happy,Uplifted,Creative,Energetic"
Jamba-Juice,hybrid,"Tingly,Giggly,Happy,Talkative,Energetic"
Jane-Doe,hybrid,"Euphoric,Happy,Relaxed,Tingly,Sleepy"
Jasmin,hybrid,"Euphoric,Relaxed,Happy,Sleepy,Hungry"
Jawa-Pie,indica,"Relaxed,Happy,Sleepy,Uplifted,Euphoric"
Jazz,hybrid,"Uplifted,Relaxed,Euphoric,Energetic,Happy"
Jean-Guy,hybrid,"Euphoric,Uplifted,Happy,Energetic,Creative"
Jedi-Kush,indica,"Euphoric,Relaxed,Happy,Uplifted,Sleepy"
Jelly-Roll,indica,"Relaxed,Happy,Tingly"
Jenni,sativa,"Euphoric,Happy,Relaxed,Uplifted,Creative"
Jenny-Kush,hybrid,"Happy,Energetic,Talkative,Euphoric,Hungry"
Jericho-Haze,sativa,"Tingly,Uplifted,Creative,Energetic,Focused"
Jesses-Girl,indica,"Euphoric,Aroused,Uplifted,Relaxed,Happy"
Jesus,hybrid,"Happy,Relaxed,Euphoric,Giggly,Tingly"
Jesus-Og,sativa,"Uplifted,Happy,Euphoric,Energetic,Relaxed"
Jet-Fuel,hybrid,"Happy,Uplifted,Relaxed,Euphoric,Focused"
Jilly-Dawg,hybrid,"Uplifted,Euphoric,Giggly,Happy"
Jillybean,hybrid,"Happy,Uplifted,Euphoric,Relaxed,Creative"
Jimi-Hendrix,hybrid,"Uplifted,Hungry,Creative,Euphoric,Happy"
Jock-Horror,sativa,"Euphoric,Happy,Hungry,Energetic,Creative"
Johnnys-Tonic,sativa,"Happy,Giggly,Relaxed,Focused,Talkative"
Joliet-Jake,indica,"Relaxed,Sleepy,Euphoric"
Jolly-Rancher,hybrid,"Euphoric,Happy,Giggly,Tingly,Creative"
Josh-D-Og,indica,"Aroused,Tingly,Uplifted,Creative,Euphoric"
Jr,indica,"Relaxed,Happy,Euphoric,Hungry,Sleepy"
Juicy-Fruit,hybrid,"Happy,Euphoric,Relaxed,Uplifted,Energetic"
Juicy-Jack,hybrid,"Uplifted,Happy,Euphoric,Creative,Talkative"
Juliet,hybrid,"Happy,Uplifted,Energetic,Euphoric,Relaxed"
Julius-Caesar,hybrid,"Happy,Euphoric,Uplifted,Relaxed,Focused"
Jungle-Juice,hybrid,"Relaxed,Happy,Creative,Sleepy,Energetic"
Jupiter-Og,indica,"Relaxed,Sleepy,Euphoric,Happy,Hungry"
K-Train,indica,"Euphoric,Happy,Uplifted,Relaxed,Creative"
K1,hybrid,"Happy,Focused,Energetic,Euphoric,Relaxed"
K2,hybrid,"Relaxed,Happy,Giggly,Hungry,Sleepy"
Kc-33,hybrid,"Relaxed,Tingly,Euphoric,Happy,Hungry"
Kc-36,indica,"Sleepy,Relaxed,Uplifted,Euphoric,Hungry"
Kt-Dawg,hybrid,"Uplifted,Happy,Relaxed,Giggly,Euphoric"
Kaboom,sativa,"Energetic,Happy,Uplifted,Creative,Euphoric"
Kahuna,indica,"Uplifted,Euphoric,Relaxed,Creative,Focused"
Kaia-Kush,hybrid,"Relaxed,Happy,Euphoric,Tingly,Uplifted"
Kalalau-Kush,hybrid,"Tingly,Uplifted,Euphoric,Happy,Creative"
Kalashnikova,hybrid,"Relaxed,Happy,Energetic,Hungry,Sleepy"
Kaleidos-Dope,hybrid,None
Kali-47,sativa,"Uplifted,Creative,Energetic,Euphoric,Happy"
Kali-China,indica,"Creative,Relaxed,Euphoric,Sleepy,Talkative"
Kali-Dog,hybrid,"Relaxed,Uplifted,Happy,Focused,Energetic"
Kali-Mist,sativa,"Energetic,Focused,Uplifted,Euphoric,Creative"
Kandahar,indica,"Relaxed,Sleepy,Euphoric,Uplifted,Giggly"
Kandy-Kush,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Hungry"
Kaptns-Grand-Dream,hybrid,"Uplifted,Euphoric,Giggly,Happy,Relaxed"
Karma-Bitch,hybrid,"Uplifted,Creative,Happy,Focused,Relaxed"
Katsu-Bubba-Kush,indica,"Relaxed,Uplifted,Happy,Euphoric,Giggly"
Katsu-Kush,indica,"Relaxed,Sleepy,Euphoric,Happy,Uplifted"
Kauai-Electric,sativa,"Creative,Energetic,Happy,Focused,Uplifted"
Kelly-Hill-Gold,indica,"Happy,Energetic,Euphoric,Talkative,Aroused"
Kens-Kush,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
Kerala-Krush,sativa,"Energetic,Happy,Hungry,Focused,Relaxed"
Key-Lime-Pie,hybrid,"Happy,Relaxed,Uplifted,Sleepy,Creative"
Khalifa-Kush,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Creative"
Khola,hybrid,"Giggly,Hungry,Aroused,Euphoric,Uplifted"
Khufu,indica,"Relaxed,Euphoric,Happy,Focused,Sleepy"
Kid-N-Cookies,hybrid,"Happy,Relaxed,Tingly,Giggly,Hungry"
Kilimanjaro,sativa,"Happy,Focused,Uplifted,Creative,Energetic"
Kill-Bill,hybrid,"Relaxed,Sleepy,Euphoric,Hungry,Tingly"
Killer-Grape,hybrid,"Euphoric,Uplifted,Happy,Sleepy,Tingly"
Killer-Queen,hybrid,"Happy,Energetic,Creative,Uplifted,Talkative"
Killing-Fields,sativa,"Energetic,Happy,Focused,Euphoric,Uplifted"
Kimbo-Kush,hybrid,"Relaxed,Sleepy,Happy,Focused,Uplifted"
King-Cake,hybrid,"Relaxed,Euphoric,Uplifted,Happy,Aroused"
King-Kong,hybrid,"Happy,Focused,Giggly,Relaxed,Uplifted"
King-Louis,indica,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
Kings-Bread,sativa,"Focused,Relaxed,Creative,Uplifted,Euphoric"
King-Kush,indica,"Relaxed,Happy,Hungry,Euphoric,Sleepy"
Kiss,hybrid,"Sleepy,Hungry,Creative,Euphoric,Focused"
Kiwiskunk,indica,"Happy,Hungry,Sleepy,Aroused,Tingly"
Kobain-Kush,indica,"Hungry,Aroused,Relaxed,Happy,Euphoric"
Kona-Gold,sativa,"Happy,Uplifted,Energetic,Euphoric,Giggly"
Kong,hybrid,"Relaxed,Happy,Sleepy,Euphoric,Hungry"
Kool-Aid-Smile,indica,"Relaxed,Happy,Talkative,Uplifted,Creative"
Kosher-Kush,indica,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
Kosher-Tangie,hybrid,"Happy,Relaxed,Uplifted,Creative,Euphoric"
Krakatoa,hybrid,"Energetic,Euphoric,Sleepy,Uplifted,Happy"
Kraken,indica,"Euphoric,Happy,Creative,Energetic,Relaxed"
Krishna-Kush,indica,"Relaxed,Happy,Giggly,Aroused,Sleepy"
Kryptonite,indica,"Relaxed,Happy,Euphoric,Creative,Giggly"
Kuato,hybrid,"Talkative,Euphoric,Aroused,Tingly,Uplifted"
Kubbie-Kush,indica,"Relaxed,Sleepy,Euphoric,Happy"
Kuchi,hybrid,"Aroused,Creative,Energetic,Euphoric,Focused"
Kurple-Fantasy,hybrid,"Relaxed,Uplifted,Happy,Euphoric,Tingly"
Kush-Cleaner,hybrid,"Relaxed,Euphoric,Aroused,Creative,Energetic"
Kush-Rise,hybrid,"Relaxed,Creative,Euphoric"
Kush-N-Cheese,hybrid,"Relaxed,Focused,Uplifted,Sleepy,Happy"
Kushadelic,indica,"Relaxed,Sleepy,Euphoric,Uplifted,Focused"
Kushage,hybrid,"Relaxed,Happy,Euphoric,Hungry,Tingly"
Kushashima,hybrid,"Relaxed,Sleepy,Uplifted,Creative,Energetic"
Kushberry,indica,"Relaxed,Sleepy,Happy,Uplifted,Creative"
Leagle-Eagle,hybrid,"Energetic,Creative,Talkative,Focused,Uplifted"
La-Sunshine,hybrid,"Uplifted,Energetic,Happy,Euphoric,Creative"
Lak-Federal-Reserve,indica,"Relaxed,Tingly,Hungry,Uplifted,Creative"
La-Chocolat,hybrid,"Relaxed,Happy,Euphoric,Sleepy,Hungry"
La-Confidential,indica,"Relaxed,Happy,Sleepy,Euphoric,Uplifted"
La-Jack,hybrid,"Euphoric,Creative,Relaxed,Sleepy,Tingly"
La-Kookies,hybrid,"Hungry,Relaxed,Happy,Creative,Talkative"
La-Kush,hybrid,"Relaxed,Happy,Creative,Uplifted,Euphoric"
La-Og,indica,"Relaxed,Euphoric,Sleepy,Happy,Tingly"
La-Ultra,indica,"Relaxed,Euphoric,Happy,Sleepy,Tingly"
La-Woman,hybrid,"Relaxed,Euphoric,Tingly,Happy,Sleepy"
Lapd,hybrid,"Uplifted,Energetic,Happy,Relaxed,Creative"
Lsd,hybrid,"Happy,Relaxed,Euphoric,Uplifted,Creative"
Lvpk,hybrid,"Happy,Relaxed,Hungry,Sleepy,Uplifted"
La-Nina,sativa,"Uplifted,Creative,Energetic,Talkative,Euphoric"
Lady-Liberty,hybrid,"Sleepy,Hungry,Relaxed"
Ladyburn-1974,hybrid,"Relaxed,Sleepy,Creative,Giggly,Hungry"
Lake-Of-Fire,hybrid,"Euphoric,Uplifted,Happy,Relaxed,Aroused"
Lamb-S-Bread,sativa,"Euphoric,Creative,Happy,Uplifted,Energetic"
Lambo-Og,hybrid,"Happy,Euphoric,Sleepy,Hungry,Relaxed"
Lamborghini,hybrid,"Relaxed,Sleepy,Euphoric,Happy,Uplifted"
Larry-Bird-Kush,hybrid,"Relaxed,Euphoric,Energetic,Happy,Uplifted"
Larry-Og,hybrid,"Relaxed,Happy,Uplifted,Euphoric,Sleepy"
Las-Vegas-Purple-Kush-Bx,indica,"Sleepy,Happy,Relaxed,Aroused,Creative"
Lashkar-Gah,indica,"Relaxed,Euphoric,Sleepy,Hungry,Happy"
Laughing-Buddha,sativa,"Happy,Euphoric,Uplifted,Energetic,Giggly"
Laughing-Gas,hybrid,"Energetic,Giggly,Happy,Talkative,Tingly"
Lavender,indica,"Relaxed,Happy,Sleepy,Uplifted,Euphoric"
Lavender-Haze,sativa,"Euphoric,Uplifted,Energetic,Happy,Relaxed"
Lavender-Jones,hybrid,"Happy,Relaxed,Euphoric,Uplifted,Creative"
Lazy-Train,hybrid,None
Le-Silver-Royale,hybrid,"Uplifted,Talkative,Euphoric,Happy,Energetic"
Leda-Uno,sativa,"Tingly,Focused,Hungry"
Lee-Roy,indica,"Relaxed,Euphoric,Sleepy,Uplifted,Tingly"
Legalized-Og,hybrid,"Hungry,Sleepy,Relaxed,Happy,Focused"
Legend-Og,indica,"Relaxed,Sleepy,Happy,Creative,Focused"
Legend-Of-Nigeria,sativa,"Happy,Uplifted,Energetic,Focused,Relaxed"
Legendary-Lemon,sativa,"Aroused,Euphoric,Relaxed,Creative,Sleepy"
Lem-Chem,hybrid,"Energetic,Focused,Hungry"
Lemon-Alien-Dawg,hybrid,"Relaxed,Creative,Focused,Aroused,Sleepy"
Lemon-Bananas,hybrid,"Talkative,Tingly,Uplifted,Creative,Energetic"
Lemon-Bubble,sativa,"Happy,Energetic,Talkative,Euphoric,Uplifted"
Lemon-Cake,sativa,"Relaxed,Uplifted,Happy,Energetic,Euphoric"
Lemon-Creme,sativa,"Creative,Happy,Talkative,Energetic,Focused"
Lemon-Daddy,hybrid,"Energetic,Happy,Focused,Giggly,Relaxed"
Lemon-Diesel,hybrid,"Euphoric,Happy,Relaxed,Creative,Energetic"
Lemon-Drop,hybrid,"Happy,Euphoric,Focused,Uplifted,Relaxed"
Lemon-Fire,hybrid,"Happy,Uplifted,Energetic,Euphoric,Focused"
Lemon-G,sativa,"Relaxed,Euphoric,Happy,Uplifted,Creative"
Lemon-Haze,sativa,"Happy,Uplifted,Euphoric,Energetic,Relaxed"
Lemon-Ice,sativa,"Energetic,Euphoric,Happy,Creative,Focused"
Lemon-Jack,sativa,"Focused,Energetic,Happy,Uplifted,Creative"
Lemon-Jeffery,hybrid,"Energetic,Euphoric,Creative,Focused,Uplifted"
Lemon-Kush,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Energetic"
Lemon-Larry-Lavender,hybrid,"Relaxed,Focused,Giggly,Uplifted,Creative"
Lemon-Marmalade,hybrid,"Uplifted,Happy,Euphoric,Relaxed,Tingly"
Lemon-Meringue,sativa,"Uplifted,Happy,Energetic,Creative,Relaxed"
Lemon-Og-Haze,hybrid,"Energetic,Happy,Focused,Euphoric,Creative"
Lemon-Og,hybrid,"Relaxed,Euphoric,Happy,Sleepy,Uplifted"
Lemon-Pie,sativa,"Energetic,Euphoric,Uplifted,Talkative,Happy"
Lemon-Sativa,sativa,"Happy,Euphoric,Energetic,Creative,Focused"
Lemon-Skunk,hybrid,"Happy,Uplifted,Relaxed,Euphoric,Focused"
Lemon-Thai,sativa,"Focused,Happy,Creative,Talkative,Energetic"
Lemon-Walker-Og,hybrid,"Relaxed,Uplifted,Happy,Focused,Energetic"
Lemon-Wreck,hybrid,"Relaxed,Creative,Euphoric,Tingly,Focused"
Lemonberry,hybrid,"Euphoric,Energetic,Giggly,Happy,Creative"
Lemonder,hybrid,"Happy,Uplifted,Giggly,Energetic,Euphoric"
Lemonhead-Og,hybrid,"Relaxed,Uplifted,Happy,Euphoric,Creative"
Lennon,sativa,"Happy,Euphoric,Energetic,Aroused,Sleepy"
Leonidas,sativa,"Focused,Aroused,Uplifted,Creative,Energetic"
Lethal-Purple,hybrid,"Talkative,Creative,Euphoric,Happy,Hungry"
Liberty-Haze,hybrid,"Happy,Uplifted,Relaxed,Euphoric,Energetic"
Lifesaver,hybrid,"Relaxed,Euphoric,Energetic,Uplifted,Tingly"
Light-Of-Jah,sativa,"Happy,Uplifted,Energetic,Euphoric,Relaxed"
Lime-Green-Skunk,hybrid,"Happy,Euphoric,Uplifted,Relaxed,Focused"
Key-Lime-Haze,sativa,"Happy,Uplifted,Euphoric,Energetic,Relaxed"
Lime-Purple-Mist,indica,"Happy,Relaxed,Tingly,Sleepy,Uplifted"
Lime-Skunk,sativa,"Uplifted,Creative,Happy,Euphoric,Energetic"
Lime-Sorbet,indica,"Relaxed,Euphoric,Sleepy,Happy,Giggly"
Limon,sativa,"Happy,Creative,Euphoric,Energetic,Giggly"
Lions-Gate,indica,"Happy,Uplifted,Energetic,Focused,Creative"
Liquid-Butter,indica,"Relaxed,Sleepy,Happy,Talkative,Giggly"
Little-Devil,hybrid,"Uplifted,Energetic,Happy,Relaxed,Aroused"
Little-Dragon,hybrid,"Uplifted,Euphoric,Happy,Relaxed,Talkative"
Locktite,hybrid,"Relaxed,Happy,Uplifted,Tingly,Euphoric"
Locomotion,indica,"Euphoric,Happy,Relaxed,Uplifted,Aroused"
Lodi-Dodi,hybrid,"Happy,Giggly,Energetic,Euphoric,Uplifted"
Logic-Diesel,hybrid,"Talkative,Energetic,Happy,Uplifted,Euphoric"
Longbottom-Leaf,hybrid,"Euphoric,Happy,Uplifted,Energetic,Hungry"
Lost-Coast-Og,hybrid,"Relaxed,Euphoric,Uplifted,Happy,Creative"
Lost-Sierra-Night-Nurse,hybrid,"Uplifted,Creative,Energetic,Focused,Happy"
Loud-Dream,hybrid,"Happy,Focused,Euphoric,Creative,Uplifted"
Loud-Scout,hybrid,"Relaxed,Happy,Focused,Uplifted,Energetic"
Love-Potion,sativa,"Happy,Talkative,Euphoric,Relaxed,Energetic"
Love-Potion-9,indica,"Euphoric,Happy,Talkative,Focused,Energetic"
Lowryder,hybrid,"Relaxed,Uplifted,Happy,Creative,Sleepy"
Loyality,hybrid,"Tingly,Relaxed,Focused,Uplifted,Creative"
Luca-Brasi,hybrid,"Relaxed,Sleepy,Hungry
"
Luca-Brasi-X-Sour-Diesel,hybrid,"Focused,Energetic,Uplifted,Happy,Relaxed"
Lucid-Bolt,indica,"Giggly,Hungry,Relaxed,Sleepy,Talkative"
Lucid-Dream,hybrid,"Energetic,Euphoric,Uplifted,Focused,Relaxed"
Lucky-Charms,hybrid,"Euphoric,Happy,Relaxed,Uplifted,Tingly"
Lucy,hybrid,"Relaxed,Sleepy,Uplifted,Happy,Hungry"
M-39,indica,"Relaxed,Sleepy,Happy,Hungry,Euphoric"
Mc1,hybrid,"Hungry,Aroused,Tingly,Uplifted,Creative"
Milf,hybrid,"Happy,Euphoric,Uplifted,Giggly,Relaxed"
Mk-Ultra,indica,"Relaxed,Euphoric,Sleepy,Happy,Hungry"
Mad-Dawg,hybrid,"Happy,Uplifted,Hungry,Talkative,Energetic"
Mad-Scientist,indica,"Relaxed,Uplifted,Focused,Euphoric,Happy"
Madagascar,indica,"Sleepy,Relaxed,Hungry,Happy,Euphoric"
Madcow,sativa,"Sleepy,Uplifted,Energetic,Relaxed,Talkative"
Madman-Og,hybrid,"Relaxed,Sleepy,Hungry,Uplifted,Euphoric"
Madzilla,indica,"Tingly,Uplifted,Euphoric,Happy,Relaxed"
Mag-Landrace,indica,"Relaxed,Happy,Sleepy,Euphoric,Uplifted"
Magic-Beans-Og,indica,"Happy,Sleepy,Euphoric,Relaxed,Tingly"
Magic-Jordan,hybrid,"Euphoric,Focused,Tingly,Uplifted,Creative"
Magnum,hybrid,"Energetic,Happy,Creative,Uplifted,Euphoric"
Magnum-Pi,sativa,"Uplifted,Focused,Energetic,Euphoric,Creative"
Mai-Tai-Cookies,hybrid,"Happy,Relaxed,Euphoric,Creative,Uplifted"
Majestic-12,hybrid,"Relaxed,Tingly,Happy,Euphoric,Creative"
Mako-Haze,sativa,"Euphoric,Happy,Relaxed,Hungry,Uplifted"
Malakoff,sativa,"Focused,Talkative,Creative,Energetic,Happy"
Malawi,sativa,"Energetic,Uplifted,Focused,Happy,Creative"
Mammoth,hybrid,"Happy,Relaxed,Focused,Uplifted,Creative"
Mandala-1,hybrid,"Euphoric,Creative,Energetic,Uplifted,Focused"
Mango,indica,"Relaxed,Sleepy,Happy,Euphoric,Focused"
Mango-Dream,sativa,"Talkative,Happy,Euphoric,Relaxed,Creative"
Mango-Habanero,hybrid,"Focused,Uplifted,Creative,Energetic,Euphoric"
Mango-Haze,sativa,"Happy,Relaxed,Euphoric,Focused,Uplifted"
Mango-Kush,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Giggly"
Mango-Tango,hybrid,"Relaxed,Happy,Euphoric,Giggly,Sleepy"
Mangolicious,indica,"Uplifted,Focused,Relaxed,Giggly,Happy"
Manitoba-Poison,hybrid,"Relaxed,Happy,Sleepy,Focused,Uplifted"
Maple-Leaf-Indica,indica,"Relaxed,Sleepy,Tingly,Euphoric,Happy"
Maramota-10,hybrid,"Talkative,Energetic,Giggly,Relaxed"
Marcosus-Marshmellow,hybrid,"Euphoric,Uplifted,Happy,Creative,Energetic"
Margaret-Cho-G,hybrid,"Euphoric,Focused,Relaxed,Talkative,Uplifted"
Marionberry-Kush,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Creative"
Marleys-Collie,hybrid,"Focused,Aroused,Hungry,Tingly,Relaxed"
Mars-Og,indica,"Relaxed,Sleepy,Hungry,Euphoric,Focused"
Martian-Candy,hybrid,"Relaxed,Happy,Uplifted,Euphoric,Talkative"
Martian-Mean-Green,hybrid,"Euphoric,Happy,Hungry,Uplifted,Focused"
Martian-Muffins,indica,"Sleepy,Relaxed,Euphoric,Talkative,Happy"
Master-Bubba,indica,"Relaxed,Euphoric,Happy,Uplifted,Sleepy"
Master-Jedi,indica,"Relaxed,Euphoric,Creative,Focused,Uplifted"
Master-Kush,indica,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
Master-Og,indica,"Relaxed,Sleepy,Happy,Hungry,Uplifted"
Master-Skunk,hybrid,"Relaxed,Uplifted,Euphoric,Happy,Creative"
Master-Yoda,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Focused"
Matanuska-Thunder-Fuck,sativa,"Happy,Euphoric,Energetic,Hungry,Relaxed"
Mataro-Blue,indica,"Relaxed,Sleepy,Euphoric,Hungry,Tingly"
Matsu,indica,"Euphoric,Tingly,Happy,Sleepy,Hungry"
Mau-Mau,hybrid,"Uplifted,Happy,Creative,Energetic,Euphoric"
Maui,sativa,"Relaxed,Uplifted,Tingly,Happy,Talkative"
Maui-Berry,hybrid,"Happy,Creative,Uplifted,Hungry,Energetic"
Maui-Bubble-Gift,hybrid,"Relaxed,Uplifted,Happy,Tingly,Euphoric"
Maui-Citrus-Punch,sativa,"Relaxed,Energetic,Uplifted,Creative,Euphoric"
Maui-Haole,hybrid,"Happy,Creative,Euphoric,Aroused,Sleepy"
Maui-Mango-Diesel,hybrid,"Euphoric,Relaxed,Uplifted,Happy,Creative"
Maui-Pineapple-Chunk,hybrid,"Creative,Euphoric,Uplifted,Aroused,Energetic"
Maui-Wowie,sativa,"Happy,Uplifted,Energetic,Relaxed,Creative"
Mazar-I-Sharif,indica,"Relaxed,Sleepy,Euphoric,Happy,Hungry"
Mazar-Kush,indica,"Relaxed,Sleepy,Happy,Giggly,Hungry"
Mean-Misty,hybrid,"Relaxed,Uplifted,Talkative,Tingly,Energetic"
Medihaze,sativa,"Relaxed,Happy,Focused,Uplifted,Energetic"
Medibud,hybrid,"Uplifted,Relaxed,Euphoric,Happy,Focused"
Medicine-Man,hybrid,"Relaxed,Uplifted,Sleepy,Happy,Euphoric"
Medicine-Woman,hybrid,"Uplifted,Happy,Relaxed,Euphoric,Creative"
Medusa,hybrid,"Relaxed,Happy,Euphoric,Creative,Uplifted"
Mega-Jackpot,hybrid,"Relaxed,Happy,Uplifted,Euphoric,Hungry"
Megalodon,sativa,"Uplifted,Happy,Hungry,Creative,Euphoric"
Mekamika-Haze,sativa,"Uplifted,Creative,Energetic,Euphoric,Focused"
