Strain,Type,Effects
Blue-Train,hybrid,"Happy,Uplifted,Energetic,Focused,Relaxed"
Blue-Trane,hybrid,None
Blue-Treat,hybrid,"Relaxed,Focused,Happy,Uplifted,Creative"
Blue-Velvet,hybrid,"Happy,Relaxed,Euphoric,Uplifted,Focused"
Blue-Venom,hybrid,"Relaxed,Euphoric,Happy,Uplifted,Hungry"
Blue-Widow,hybrid,"Relaxed,Happy,Uplifted,Euphoric,Sleepy"
Blue-Wonder,hybrid,"Uplifted,Happy,Euphoric,Focused,Relaxed"
Blue-Wreck,hybrid,"Sleepy,Happy,Euphoric,Relaxed,Uplifted"
Blue-Zkittlez,indica,"Aroused,Creative,Happy,Relaxed,Euphoric"
Blue-Zombie,indica,"Relaxed,Euphoric,Hungry,Sleepy,Happy"
Blueberry,indica,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
Blueberry-Ak,hybrid,"Energetic,Relaxed,Euphoric,Happy,Sleepy"
Blueberry-Blast,sativa,"Happy,Uplifted,Euphoric,Energetic,Talkative"
Blueberry-Bomb,hybrid,Relaxed
Blueberry-Cheesecake,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Tingly"
Blueberry-Diesel,hybrid,"Uplifted,Happy,Euphoric,Relaxed,Focused"
Blueberry-Dream,sativa,"Uplifted,Sleepy,Happy,Relaxed,Focused"
Blueberry-Essence,hybrid,"Relaxed,Happy,Uplifted,Euphoric,Sleepy"
Blueberry-Haze,hybrid,"Happy,Euphoric,Creative,Uplifted,Energetic"
Blueberry-Headband,hybrid,"Relaxed,Happy,Uplifted,Talkative,Euphoric"
Blueberry-Jack,hybrid,"Relaxed,Happy,Creative,Giggly,Hungry"
Blueberry-Kush,indica,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
Blueberry-Lambsbread,hybrid,"Relaxed,Happy,Sleepy,Uplifted,Euphoric"
Blueberry-Muffins,hybrid,"Relaxed,Euphoric,Uplifted,Happy,Creative"
Blueberry-Og,hybrid,"Happy,Hungry,Giggly,Euphoric,Talkative"
